guid,order,name,time,party,face,home state,tags
q=.Op+2yrB,1st,George Washington,1789-1797,Unaffiliated,"<img src=""493px-Gilbert_Stuart_Williamstown_Portrait_of_George_Washington.jpg"" />",Virginia,
g1uTRyy}cQ,2nd,John Adams,1797-1801,Federalist,"<img src=""479px-Official_Presidential_portrait_of_John_Adams_(by_John_Trumbull,_circa_1792).jpg"" />",Massachusetts,
"AkT`,64}!C",3rd,Thomas Jefferson,1801-1809,Democratic-Republican,"<img src=""503px-Thomas_Jefferson_by_Rembrandt_Peale,_1800.jpg"" />",Virginia,
EG[Xk-][Ay,4th,James Madison,1809-1817,Democratic-Republican,"<img src=""493px-James_Madison.jpg"" />",Virginia,
lL.J?=d/IL,5th,James Monroe,1817-1825,Democratic-Republican,"<img src=""498px-James_Monroe_White_House_portrait_1819.gif"" />",Virginia,
s8Qm1ib.@=,6th,John Quincy Adams,1825-1829,Democratic-Republican,"<img src=""lossless-page1-459px-JQA_Photo.tif.png"" />",Massachusetts,
FvO#O!95L),7th,Andrew Jackson,1829-1837,Democratic,"<img src=""479px-Andrew_Jackson_Daguerrotype-crop.jpg"" />",North Carolina,
KSq(|;nvGS,8th,Martin Van Buren,1837-1841,Democratic,"<img src=""467px-Martin_Van_Buren_edit.jpg"" />",New York,
fsi&7%`YIT,9th,William Henry Harrison,1841-1841,Whig,"<img src=""502px-William_Henry_Harrison_daguerreotype_edit.jpg"" />",Virginia,
fpn`+z(&&^,10th,John Tyler,1841-1845,"Whig, Unaffiliated","<img src=""462px-Tyler_Daguerreotype_crop_(restoration).jpg"" />",Virginia,
"IO@hBeABy,",11th,James K. Polk,1845-1849,Democratic,"<img src=""lossy-page1-415px-JKP.tif.jpg"" />",North Carolina,
zO<@ID29}.,12th,Zachary Taylor,1849-1850,Whig,"<img src=""456px-Zachary_Taylor_restored_and_cropped.png"" />",Virginia,
"e,6DI_O*fu",13th,Millard Fillmore,1850-1853,Whig,"<img src=""428px-Millard_Fillmore_by_Brady_Studio_1855-65-crop.jpg"" />",New York,
f7c*sqQ>O|,14th,Franklin Pierce,1853-1857,Democratic,"<img src=""489px-Franklin_Pierce_-_1.jpg"" />",New Hampshire,
q9DSu.wm>o,15th,James Buchanan,1857-1861,Democratic,"<img src=""551px-James_Buchanan.jpg"" />",Pennsylvania,
p]bT-UHJWp,16th,Abraham Lincoln,1861-1865,Republican (National Union),"<img src=""480px-Abraham_Lincoln_O-77_matte_collodion_print.jpg"" />",Kentucky,
zafke^JSwU,17th,Andrew Johnson,1865-1869,"National Union, Democratic","<img src=""466px-Andrew_Johnson_photo_portrait_head_and_shoulders,_c1870-1880-Edit1.jpg"" />",North Carolina,
v%M^X<p*_:,18th,Ulysses S. Grant,1869-1877,Republican,"<img src=""450px-Ulysses_S._Grant_1870-1880.jpg"" />",Ohio,
f?](3l=OD0,19th,Rutherford B. Hayes,1877-1881,Republican,"<img src=""493px-President_Rutherford_Hayes_1870_-_1880_Restored.jpg"" />",Ohio,
DD?&IikZP*,20th,James A. Garfield,1881-1881,Republican,"<img src=""473px-James_Abram_Garfield,_photo_portrait_seated.jpg"" />",Ohio,
oy:L:5g].f,21st,Chester A. Arthur,1881-1885,Republican,"<img src=""517px-Chester_Alan_Arthur.jpg"" />",Vermont,
"oy1JGIuH,L",22nd,Grover Cleveland(1),1885-1889,Democratic,"<img src=""465px-Grover_Cleveland_-_NARA_-_518139_(cropped).jpg"" />",New Jersey,
F:p}fvDnMJ,23rd,Benjamin Harrison,1889-1893,Republican,"<img src=""473px-Benjamin_Harrison,_head_and_shoulders_bw_photo,_1896.jpg"" />",Ohio,
Pg#uKUzd]`,24th,Grover Cleveland(2),1893-1897,Democratic,"<img src=""465px-Grover_Cleveland_-_NARA_-_518139_(cropped).jpg"" />",New Jersey,
L.@LI3&Fi,25th,William McKinley,1897-1901,Republican,"<img src=""503px-Mckinley.jpg"" />",Ohio,
HN3KZzk]n,26th,Theodore Roosevelt,1901-1909,Republican,"<img src=""lossy-page1-424px-President_Roosevelt_-_Pach_Bros.tif.jpg"" />",New York,
D7./;X5b(X,27th,William Howard Taft,1909-1913,Republican,"<img src=""lossy-page1-450px-William_Howard_Taft,_head-and-shoulders_portrait,_facing_front.tif.jpg"" />",Ohio,
x>nv)zn}RG,28th,Woodrow Wilson,1913-1921,Democratic,"<img src=""463px-Woodrow_Wilson-H&E.jpg"" />",Virginia,
NuW9p~C~iJ,29th,Warren G. Harding,1921-1923,Republican,"<img src=""441px-Warren_G_Harding-Harris_&_Ewing.jpg"" />",Ohio,
"tfzfgZ,+jR",30th,Calvin Coolidge,1923-1929,Republican,"<img src=""467px-Calvin_Coolidge,_bw_head_and_shoulders_photo_portrait_seated,_1919.jpg"" />",Vermont,
c<i7uZzq0f,31st,Herbert Hoover,1929-1933,Republican,"<img src=""lossy-page1-450px-President_Hoover_portrait.tif.jpg"" />",Iowa,
sO1{-|t_6@,32nd,Franklin D. Roosevelt,1933-1945,Democratic,"<img src=""lossy-page1-416px-FDR_1944_Color_Portrait.tif.jpg"" />",New York,
c=#1MiX{gD,33rd,Harry S. Truman,1945-1953,Democratic,"<img src=""Truman_58-766-09.jpg"" />",Missouri,
b()?cf_tv/,34th,Dwight D. Eisenhower,1953-1961,Republican,"<img src=""lossy-page1-483px-President_Eisenhower_Portrait_1959.tif.jpg"" />",Texas,
LKL|*#i6ml,35th,John F. Kennedy,1961-1963,Democratic,"<img src=""462px-John_F._Kennedy,_White_House_color_photo_portrait.jpg"" />",Massachusetts,
ivfN-o}/&W,36th,Lyndon B. Johnson,1963-1969,Democratic,"<img src=""450px-37_Lyndon_Johnson_3x4.jpg"" />",Texas,
li|r+qcy3`,37th,Richard Nixon,1969-1974,Republican,"<img src=""lossy-page1-493px-Richard_M._Nixon,_ca._1935_-_1982_-_NARA_-_530679.tif.jpg"" />",California,
j!ti]D{a{%,38th,Gerald Ford,1974-1977,Republican,"<img src=""lossy-page1-446px-Gerald_Ford_-_NARA_-_530680.tif.jpg"" />",Nebraska,
nK]:`;:SC#,39th,Jimmy Carter,1977-1981,Democratic,"<img src=""488px-JimmyCarterPortrait2.jpg"" />",Georgia,
ILXb?JEWa%,40th,Ronald Reagan,1981-1989,Republican,"<img src=""479px-Official_Portrait_of_President_Reagan_1981.jpg"" />",Illinois,
E[-yQ=WDm@,41st,George H. W. Bush,1989-1993,Republican,"<img src=""439px-George_H._W._Bush,_President_of_the_United_States,_1989_official_portrait_cropped.jpg"" />",Massachusetts,
I^~G)nU7e>,42nd,Bill Clinton,1993-2001,Democratic,"<img src=""459px-Bill_Clinton.jpg"" />",Arkansas,
q[pv<J$)[$,43rd,George W. Bush,2001-2009,Republican,"<img src=""453px-George-W-Bush.jpeg"" />",Connecticut,
ERN1PUWMu6,44th,Barack Obama,2009-2017,Democratic,"<img src=""446px-Obama_portrait_crop.jpg"" />",Hawaii,
xZDU/>dL*s,45th,Donald Trump,2017-2021,Republican,"<img src=""435px-Donald_Trump_Pentagon_2017.jpg"" />",New York,
IyFg:dlsTP,46th,Joe Biden,2021-,Democratic,"<a href=""https://upload.wikimedia.org/wikipedia/commons/9/99/Joe_Biden_official_portrait_2013_cropped_%28cropped%29.jpg""><img src=""470px-Joe_Biden_official_portrait_2013_cropped_(cropped).jpg""></a>",Pennsylvania,
